tick,Ω_value,coherence,entropy,drift_index,timestamp
1,1.0209934283060225,0.9991073362081044,0.0039027861706028167,-0.0009684493706763053,2025-10-25 14:55:32.568159
2,1.0200249789353462,0.9991682353579104,0.004400312488523113,0.0004524819227779142,2025-10-25 14:55:33.568159
3,1.0218983921515783,0.9993249153729525,0.004702621849859092,0.0019628016952676353,2025-10-25 14:55:34.568159
4,1.0239505823258814,0.9993161406156105,0.0047234902968823714,-0.0005803343751356049,2025-10-25 14:55:35.568159
5,1.020737723401307,0.9985866991896128,0.004474967264260378,-0.0014556592756688191,2025-10-25 14:55:36.568159
6,1.0210392637745438,0.9987186524880255,0.00501142496617375,0.0021148737279191865,2025-10-25 14:55:37.568159
7,1.0249674708571455,0.9991545105801626,0.004166189785308703,0.001303079223790471,2025-10-25 14:55:38.568159
8,1.0236454222221247,0.9991541357852737,0.004628810257489353,-0.0017471796637538173,2025-10-25 14:55:39.568159
9,1.0214731115296378,0.9991545143058919,0.00476014781585595,7.663285212167192e-05,2025-10-25 14:55:40.568159
10,1.023798687926368,1.0001558194471964,0.004957219417029375,0.00030756423081090833,2025-10-25 14:55:41.568159
11,1.0220882399912596,0.9991712671532079,0.005055807439044445,-0.000706782259467853,2025-10-25 14:55:42.568159
12,1.0223851234074324,0.9993406696920542,0.0041376789540810656,0.0010068875020669,2025-10-25 14:55:43.568159
13,1.0241020149953934,0.9992862005290479,0.0039329429146321895,-0.0011460429533990402,2025-10-25 14:55:44.568159
14,1.0200930375006343,0.9991954173753917,0.005338838410949255,-0.001665372566390655,2025-10-25 14:55:45.568159
15,1.0207712698626121,0.9989054192266079,0.004866157005989796,0.0016525002531052602,2025-10-25 14:55:46.568159
16,1.0233980380068448,0.9992276907661479,0.004325756731721723,0.0010135942498670225,2025-10-25 14:55:47.568159
17,1.0227984583623462,0.9987681524356388,0.0054755759877612616,0.0011780423995245703,2025-10-25 14:55:48.568159
18,1.025754122805894,0.998928954417978,0.00475783731714643,0.0004063145825016212,2025-10-25 14:55:49.568159
19,1.0236110875273494,0.9988543909356513,0.005289648592031913,-0.0014250434962420622,2025-10-25 14:55:50.568159
20,1.0229040358134098,0.9990245622418159,0.0047337592407050546,0.002675180382131215,2025-10-25 14:55:51.568159
21,1.0289614482916118,0.999694397570002,0.005730373962440994,0.0014880349385371083,2025-10-25 14:55:52.568159
22,1.025880105690484,0.9984398204422225,0.005577670421221603,-0.001096613026545179,2025-10-25 14:55:53.568159
23,1.0267682222385215,0.9992058780571124,0.004575517925760463,-0.0008974643480382793,2025-10-25 14:55:54.568159
24,1.0240851769944075,0.998516185238643,0.005185785475477178,-0.00031040339152454965,2025-10-25 14:55:55.568159
25,1.0261474154554724,0.9988584204402632,0.005022687974792574,0.0018371783136117426,2025-10-25 14:55:56.568159
26,1.027759533621631,0.9993266851790902,0.005384315778766175,-0.00030510331520872125,2025-10-25 14:55:57.568159
27,1.025537208825055,0.9990192840057286,0.004217538269709948,0.0005662829663242164,2025-10-25 14:55:58.568159
28,1.0288920995542794,0.9986766765666212,0.0050430257299992195,0.0008518624251919737,2025-10-25 14:55:59.568159
